Worker,MaxTasks
ClassAppWeb,8
NlpAppWeb,8
OnboardingWeb,8
LearningpathWeb,8
DashboardWeb,8
FocAppWeb,8
IeltsAppWeb,8
AdminAppWeb,8
MobileGatewayAppWeb,8
NotificationsAppWeb,8
SupportAdminAppWeb,8
BuilderMainWeb,6
AnalyticsWeb,14
ProductWeb,18
AuthExtnWeb,6
XapiWeb,8
DriveWeb,12
BuilderWeb,3
AttemptsWeb,4
PushxWeb,4
IntegrationsWeb,4
PubWeb,4
AuthWeb,8
AnalyticsClassrecordProgressWorkerWorker,45
AuthSpacesWorker,25
AnalyticsUserProgressWorkerWorker,30
XapiMainWorkerWorker,25
AnalyticsProductWorkerWorker,5
AnalyticsUserProgressCEWorkerWorker,4
AnalyticsClassrecordWorkerWorker,8
Auth2RuleWorkerWorker,4
AuthClassProductWorker,3
AnalyticsClassrecordProgressCEWorkerWorker,10
PushxMessagingWorkerWorker,6
